parcel1,parcel2,parcel_num,parcel_add
184D1 C012,,,260 OCONEE RIVER CIR
163D4 D002A,,,260 ROSA NELL HOWARD ST
131A3 K021,,,260 TOWNSHIP LN
132B3 C014,,,262 RHODES DR
054B1 L001,,,265 FEDERAL ST
244C  I007,,,265 TAMARACK DR
071A3 B003,,,269 IMPERIAL WAY
171A5 B204,,,269 N HULL ST
122B3 F020,,,269 THE PLAZA
122B3 I021,,,270 HODGSON DR
163B7 A020,,,270 LAKE ST
122B4 D001,,,270 N CHASE ST
072C2 C003,,,270 PROVIDENCE RD
132B3 C012,,,270 RHODES DR
064B3 A010,,,270 WESTWOOD DR
121B5 C020,,,273 HAMPTON PARK DR
124B2 F018,,,274 OAKLAND AVE
122A1 A015,,,275 GILMER ST
173A4 C009,,,275 MORTON AVE
121A4 C015,,,275 PINE FOREST DR
121B5 C021,,,277 HAMPTON PARK DR
114D1 I006,,,277 HIAWASSEE AVE
171A1 O001,,,279 MEIGS ST
163B7 A019,,,280 LAKE ST
163A3 B009,,,281 ATHENS AVE
122C4 C003,,,282 MAGNOLIA ST
174    009,,,284 BAILEY ST
102A5 B001,,,285 FAIRLANE DR
122A3 G016,,,285 HOLMAN AVE
163C1 C001,,,285 SAVANNAH AVE
121A1 B012A,,,285 TIMBERLANE DR
171C1 E009,,,287 HENDERSON AVE
124B2 B015,,,288 STANTON WAY
241B2 A001,,,289 CEDAR CREEK DR
172C5 A014,,,290 APPLEBY DR
172C5 A022,,,290 APPLEBY DR
172C5 A030,,,290 APPLEBY DR
172C5 A036,,,290 APPLEBY DR
172C5 A040,,,290 APPLEBY DR
172C5 A045,,,290 APPLEBY DR
124B4 C008,,,290 MILLEDGE CIR
173C1 I011,,,290 MILLEDGE HTS
132C2 B013,,,290 TIMOTHY RD
182A4 A001,,,290 UNIVERSITY CIR
164C3 E004,,,292 FIRST ST
123C5 A013,,,293 SKYLINE PKWY
122A3 D015,,,295 BEST DR
123C4 B004,,,295 TANGLEWOOD DR
122A4 F003A,,,296 HODGSON DR
173C3 H005,,,296 PARKWAY DR
233B4 C001,,,2965 CHEROKEE RD
164C3 E007,,,298 FIRST ST
